VZ	28.65	29.07	28.59	28.85
GE	15.76	15.87	15.46	15.62
GM	151.56	153.45	149.82	152.41
GS	17.93	18.15	17.67	17.85
PFE	52.01	54.18	51.98	53.87
CAT	70.35	72	70.35	71.28
CVX	3.17	3.22	3.11	3.18
C	36.84	37.15	36.33	36.6
MRK	22.43	23.65	22.17	23.13
AIG	13.23	13.49	13.11	13.34
AA	64.87	65.69	64.5	65.19
XOM	14.66	14.78	14.26	14.5
BAC	28.67	29.07	28.59	28.75
HD	23.69	23.99	23.59	23.89
CSCO.O	58.8	60.43	58.12	59.94
BA	27.92	28.32	27.72	27.72
MSFT.O	25.16	25.41	25.053	25.26
T	29.8	30.65	29.5	29.87
DIS	19.5	19.87	19.35	19.35
INTC.O	38.1	38.68	37.85	38.57
JPM	32.5	33.12	32.32	32.86
DD	52.4	53.6	52.4	53.29
WMT	66.27	67.07	65.72	66.52
UTX	49.4	49.74	48.91	49.57
TRV	47.95	48.82	47.88	48.24
HPQ	195.11	197.47	194.818	196.31
AAPL.O	37.2	37.81	37.04	37.4
AXP	121.88	124.18	121.88	123.25
IBM	19.61	19.61	19.2395	19.53
MO	61.72	63.09	61.72	62.51
NKE	37.14	38.21	37.14	37.82
HON	52.74	54.97	52.74	54.01
KO	83.99	84.08	82.71	83.27
V	63.21	63.91	62.63	63.0506
MCD	32.8	33.045	32.005	33
UNH	78.05	79.47	77.97	79.47
MMM	62.66	63.46	62.47	62.76
JNJ	61.2	61.99	61.02	61.3703
