VZ	32.51	32.97	32.43	32.82
GE	16.1	16.13	15.8891	16
GM	162.05	164	161.9	163.75
GS	17.7	17.785	17.265	17.46
PFE	79.31	80.38	79.31	80.15
CAT	82	82.45	81.73	82.15
CVX	4.17	4.2	4.1	4.19
C	36.31	36.86	36.31	36.71
MRK	42.2	42.43	41.93	42.2
AIG	13.1	13.35	13.095	13.35
AA	67.45	68.24	67.21	68
XOM	11.85	11.85	11.3	11.48
BAC	30.76	31.965	30.76	31.64
HD	23.03	23.3	22.92	23.29
CSCO.O	70.7	71.17	68.89	69.97
BA	27.15	27.5	26.95	27.49
MSFT.O	28.77	29.1	28.77	29.1
T	36.04	36.4	36.04	36.15
DIS	20.66	20.69	20.29	20.39
INTC.O	37.42	37.7	36.84	37.15
JPM	47.02	47.8399	47.02	47.6
DD	54.4	54.9837	54.4	54.88
WMT	74.81	75.581	74.81	75.57
UTX	56.57	56.57	55.5	55.52
TRV	42.49	43.21	42.45	43.21
HPQ	304.91	310.84	304.9	310.74
AAPL.O	42.02	42.6	41.69	42.6
AXP	143.49	144.67	143.49	143.9
IBM	25.37	25.68	25.37	25.65
MO	81.55	82.22	81.55	81.8424
NKE	46.91	47.5	46.91	47.42
HON	62	62	61.61	61.95
KO	77.95	78.87	77.5001	78.78
V	78.52	78.74	78.05	78.5
MCD	36.45	37.18	36.45	37.18
UNH	84.5	85.19	84.31	85.19
MMM	63.69	64.1925	63.52	63.88
JNJ	63.91	64.28	63.66	64.03
