VZ	35.7	36.01	35.63	35.76
GE	35.25	35.25	34.7	34.8699
GM	31.8	31.8	31.2	31.49
GS	162.6	164.74	162.31	163.34
PFE	28.04	28.22	27.9	28.16
CAT	65.43	67.6	65.43	66.1591
CVX	62	63.19	61.75	62.86
C	49.19	49.71	49.1101	49.59
MRK	41.15	41.15	40.59	40.8
AIG	65.72	66.46	65.41	66.46
AA	28.22	28.83	28.05	28.49
XOM	65	66.49	64.73	66.31
BAC	51.39	51.95	51.3	51.95
HD	36.9	36.97	36.27	36.61
CSCO.O	22.8	23	22.68	22.86
BA	75.23	76.13	74.8	76.13
MSFT.O	26.8	27.03	26.69	26.78
T	31.86	32	31.38	31.41
DIS	30.132	30.31	29.991	30.06
INTC.O	19.6	19.75	19.43	19.64
JPM	46.95	46.95	46.49	46.5825
DD	42.25	42.49	41.97	42.26
WMT	48.22	48.52	47.67	48.3
UTX	64.4	64.5	63.945	64.08
TRV	36.18	36.59	35.8024	36.25
HPQ	74.13	74.8202	73.46	73.93
AAPL.O	53.75	53.82	53.25	53.49
AXP	82.96	83.19	82.18	82.24
IBM	83.2	83.62	82.5	82.94
MO	82.53	82.97	82.01	82.31
NKE	39.75	39.88	39.25	39.44
HON	44.7	44.76	44.29	44.44
KO	37.85	37.85	37.3	37.42
V	52	52.83	52	52.09
MCD	74.14	74.4	73.52	73.89
UNH	63.79	64.32	63.79	64.1625
MMM	60.9	61	60.45	60.5
