VZ	31.44	31.83	31.3	31.83
GE	33.73	34.1	33.67	34.1
GM	25.5	25.7	25.03	25.36
GS	141	141.65	136.91	138.5
PFE	23.09	23.25	22.97	23.25
CAT	67.16	67.94	65.96	67.4935
CVX	57.01	58	56.78	57.3413
C	48.26	48.58	46.625	47.85
MRK	33.66	33.72	33.14	33.588
AIG	59.05	59.53	58.57	59.2133
AA	28.96	29.64	28.96	29.59
XOM	56.99	57.99	56.74	57.7985
BAC	47.1	47.35	45.87	46.76
HD	36.3	36.8	36.14	36.8
CSCO.O	19.58	19.74	18.2	18.2
BA	78.67	82.69	78.5	82.5
MSFT.O	21.62	21.94	21.51	21.92
T	27.02	27.29	26.94	27.17
DIS	28.79	28.79	27.99	28.72
INTC.O	17.26	17.84	17.26	17.76
JPM	40.49	40.81	39.33	39.97
DD	39.98	40.46	39.73	40.2761
WMT	47.53	47.8816	47.37	47.7195
UTX	59.55	59.87	58.95	59.5025
TRV	29.81	30.45	29.81	30.14
HPQ	58.5	58.79	56.76	57.65
AAPL.O	52.23	52.85	52.13	52.74
AXP	77.15	77.79	76.8	77.672
IBM	69.75	70.14	69.36	69.68
MO	81.2	82.2	81.2	82.08
NKE	37.62	38.04	37.45	38.02
HON	42.8	43	42.5	42.6164
KO	34.23	34.3	33.36	33.7467
V	31.94	32.95	31.94	32.85
MCD	44.77	45.27	44.56	45.21
UNH	79.96	80.47	79.29	79.9
MMM	61.79	61.79	60.9	61.2383
JNJ	54.15	54.92	53.79	54.92
