VZ	29.95	30.15	29.8	29.94
GE	16.51	16.65	16.11	16.35
GM	183.35	183.42	177.79	179.4
GS	16.4	16.61	16.33	16.41
PFE	52.1	52.86	51.02	51.32
CAT	70.71	71.35	70.18	70.6
CVX	4.4	4.5	4.35	4.41
C	31.01	31.7	30.88	31.25
MRK	45.55	45.9	42.95	44.39
AIG	13.49	13.57	13.0179	13.09
AA	69	69.52	68.43	68.64
XOM	17	17.07	16.5	16.64
BAC	26.9	27.2199	26.55	26.94
HD	22.56	22.88	22.51	22.6
CSCO.O	51.77	52.27	51.299999	51.52
BA	25.99	25.99	25.45	25.5
MSFT.O	27.09	27.14	26.89	27.01
T	27.78	27.99	27.5601	27.62
DIS	19.45	19.565	19.3	19.39
INTC.O	44.41	44.49	43.362	43.6
JPM	32.13	32.38	31.57	31.74
DD	50.52	50.7	49.43	49.57
WMT	62.34	62.34	61.03	61.54
UTX	47.52	48.44	47.44	47.75
TRV	46.37	47.22	46.25	47.03
HPQ	181.99	185.41	181	182.36
AAPL.O	34	34.11	32.6258	33.05
AXP	120.24	121.59	119.8	120.9949
IBM	17.5	17.689	17.46	17.55
MO	58.2	59.84	58.17	58.64
NKE	38.4	38.49	37.56	37.75
HON	53.23	53.64	52.03	53.2
KO	73.25	73.3	69.4	70.8
V	56.54	57.44	56.12	56.9
MCD	25.91	26.13	25.02	25.34
UNH	74.1	74.33	73.4	73.8
MMM	60.64	60.9574	60.4	60.65
JNJ	58.35	58.48	57.84	58.01
