date	COMPANY	Open	High	Low	Close	Open_p	High_p	Low_p	Close_p
2006-02-02	AXP	81.4	81.95	80.9	81.23	0.0012300123001232066	-0.003162632283177147	0.0027268220128904286	-0.008370800713416338
2006-02-02	HD	40.65	40.65	39.84	39.9896	0.016249999999999876	0.001724987678659362	-0.0030030030030029353	-0.005374859783563002
2006-02-02	MRK	34.66	34.73	33.71	33.82	0.004637681159420204	0.0	-0.014327485380116967	-0.023550844937448967
2006-02-02	BAC	43.95	43.972	43.4	43.4	-0.006330544879041278	-0.006349851987435873	-0.010487916096671213	-0.013636363636363669
2006-02-02	DIS	25.27	25.27	25.0	25.0	0.004771371769383803	-0.001974723538704648	-0.005964214711729587	-0.009732350459682237
2006-02-02	GM	24.58	24.58	23.36	23.6	0.028451882845188292	-0.0008130081300814496	-0.015177065767284947	-0.03947903947903941
2006-02-02	JNJ	59.82	60.15	59.3	59.7	0.009961168326861447	0.0024999999999999467	0.0038936854579312286	-0.0016004495306517486
2006-02-02	AAPL.O	52.62	52.85	52.2	52.56	0.00324118207816948	0.0005679666792881566	-0.0026748184944592746	-0.0006787627125410811
2006-02-02	BA	72.1	72.29	71.3	71.7	0.0554823598301859	0.0016627407510045877	0.04377104377104368	-0.0020876826722336927
2006-02-02	GE	33.1	33.28	32.83	32.9	0.010995723885155684	0.0029927035897374665	0.005513016845329233	-0.005140610825521641
2006-02-02	DD	39.49	39.66	38.87	38.93	0.008426966292135019	0.0012623074981064075	-0.0038441824705280903	-0.01478705177619244
2006-02-02	TRV	31.23	31.4	30.82	30.91	0.009699321047526688	0.00415733930284623	0.0006493506493505663	-0.009475832940776807
2006-02-02	NKE	39.34	39.58	38.27	38.66	0.020228215767634783	0.001264862130027744	-0.005457380457380312	-0.016677815732646373
2006-02-02	MMM	57.838	58.35	57.25	57.25	0.005179005908932943	-0.0006850488097276397	-0.005039972193256803	-0.010126963104103548
2006-02-02	AIG	66.27	66.32	65.3	65.5802	0.012373968835930338	-0.001655878368207353	-0.002444240757714544	-0.010045935056916866
2006-02-02	C	46.22	46.34	45.1	45.23	-0.007728638900815765	-0.00664523043944254	-0.022116218560277456	-0.023230401440859416
2006-02-02	MO	83.13	83.9	83.001	83.3828	0.02693020382952427	-0.0023781212841853527	0.02533662754786903	0.0033343079957210975
2006-02-02	INTC.O	21.45	21.67	21.18	21.18	0.009887005649717562	0.004170528266913998	-0.0014144271570014633	-0.01671309192200554
2006-02-02	AA	31.12	31.72	30.56	30.9942	-0.016745655608214727	-0.008750000000000036	-0.003911342894393766	-0.002943475617406044
2006-02-02	CSCO.O	18.52	18.74	18.3	18.36	0.005975013579576194	0.0064446831364122215	0.0	-0.010775862068965525
2006-02-02	XOM	62.2	62.22	61.23	61.82	-0.008764940239043728	-0.01285102332222754	-0.004488985645326293	-0.006109324758842516
2006-02-02	T	26.55	26.75	26.3	26.52	0.023121387283236983	0.005639097744360777	0.015052103434967323	-0.0018818216033120727
2006-02-02	IBM	73.39	73.5	71.92	72.0	0.009352221152523876	-0.0009514747859180606	-0.008000000000000007	-0.020141535111595
2006-02-02	KO	31.56	31.6	31.07	31.1585	0.007180469123982736	-0.012499999999999956	-0.008456996968246422	-0.02194145805540304
2006-02-02	V	35.68	35.79	35.21	35.4237	0.019137389317337883	0.0025210084033613356	0.006000000000000005	-0.0062279601747196045
2006-02-02	GS	141.75	143.74	141.45	142.4863	0.003539823008849474	0.0058078510950949624	0.0056878777106290634	-0.0011475639677532845
2006-02-02	CAT	69.29	69.29	67.99	68.3861	0.02047128129602349	0.00014434180138578334	0.0013254786450660472	-0.011985720002831712
2006-02-02	VZ	31.31	31.84	31.31	31.4	-0.011054958938723991	-0.0034428794992175105	0.0	-0.011823500347750038
2006-02-02	CVX	59.01	59.01	57.78	58.51	-0.008235294117647118	-0.0130456598093327	-0.013993174061433411	-0.007632293080054309
2006-02-02	JPM	39.9	40.13	39.63	39.99	0.0	-0.00124440019910399	-0.0017632241813602123	0.003369656034143187
2006-02-02	WMT	46.13	46.45	45.49	46.32	0.0004337453914553535	0.001543822124092431	-0.001974550241333861	0.004430161528503396
2006-02-02	UNH	73.19	73.65	72.05	72.2	0.006048109965635762	0.0034059945504087974	0.00041655095806714115	-0.013198807638005183
2006-02-02	MSFT.O	27.95	28.04	27.56	27.65	0.006119510439164699	-0.004791481810115461	-0.007204610951008772	-0.013908701854493555
2006-02-02	HON	41.5	41.522	41.06	41.22	0.002342825399125781	-0.00019263183241036153	0.0007311723129417302	-0.006165055683207354
2006-02-02	HPQ	75.01	75.35	71.52	71.94	0.005495978552279013	-0.014130576998560906	-0.04115833221611487	-0.04588859416445634
2006-02-02	PFE	25.94	26.11	25.57	25.75	0.010124610591900396	0.0	-0.0035074045206546778	-0.01075681905493664
2006-02-02	MCD	59.5	59.7	58.8	59.36	0.0013463480309658937	-0.0006695681285571187	-0.0042337002540220325	-0.0019453322953745245
2006-02-02	UTX	58.0	58.35	57.63	57.8999	-0.016782505509408407	-0.010849296490930693	-0.002077922077922012	-0.0013074443258124235
