date	COMPANY	Open	High	Low	Close	Open_p	High_p	Low_p	Close_p
2009-08-19	CAT	66.45	68.47	66.1702	68.21	-0.007468259895444307	0.01242052343634481	-0.005109006164486729	0.016693993143538366
2009-08-19	UNH	69.77	71.03	69.29	70.79	-0.002002574738950047	0.006803685329553666	-0.008868545272493034	0.006111426947129184
2009-08-19	BA	23.34	23.7118	23.23	23.59	0.0	0.00261310782241031	-0.0008602150537634357	0.014623655913978517
2009-08-19	WMT	55.89	56.6	55.61	56.0218	-0.007282415630550543	-0.008930134827525804	-0.012255772646536323	-0.013700704225352078
2009-08-19	HPQ	162.12	165.11	162.0	164.8	0.008899122534071768	0.005542021924482388	0.008717310087173136	0.007704537116302035
2009-08-19	CVX	4.06	4.19	4.02	4.13	0.0024691358024691024	0.0023923444976077235	0.0	-0.00959232613908878
2009-08-19	HON	48.33	49.4787	48.33	49.36	-0.009225092250922606	0.011420686835650118	0.0012430080795524656	0.01563786008230439
2009-08-19	MRK	24.11	27.4452	23.91	26.6	0.0	0.11024271844660194	0.003357112882920843	0.08130081300813008
2009-08-19	IBM	17.59	17.74	17.5	17.7	-0.0005681818181818565	0.0011286681715574343	0.0023713241611582614	0.005681818181818121
2009-08-19	AIG	12.54	12.6	12.21	12.48	-0.0055511498810467685	-0.028527370855821244	-0.030952380952380842	-0.037779491133384746
2009-08-19	GM	159.5	160.5	158.01	160.25	0.0047244094488188	-0.002053096992977621	6.329113924041785e-05	-0.0007482696264887734
2009-08-19	AA	66.2	68.48	65.92	68.28	-0.011940298507462699	0.018289962825278838	-0.005956420116112415	0.02368815592203899
2009-08-19	NKE	34.6	35.155	34.51	34.8153	-0.011428571428571344	0.002423723980610193	-0.0026011560693642855	-0.005277142857142869
2009-08-19	INTC.O	41.21	41.85	41.0	41.41	0.0038976857490866657	0.0	-0.0007311723129417302	-0.006954436450839485
2009-08-19	XOM	16.77	17.01	16.55	16.79	0.004191616766467066	-0.0029308323563890237	-0.008982035928143617	-0.010606953447259815
2009-08-19	KO	66.65	67.24	66.2275	67.0	-0.0047782589219051985	-0.0011883541295305555	-0.00559309309309286	0.003144183260967104
2009-08-19	C	30.32	31.9185	30.32	31.48	-0.025080385852090048	0.026318327974276468	0.00041243916522315516	0.020421393841166813
2009-08-19	MSFT.O	24.96	25.48	24.92	25.48	-0.007159904534606243	0.009108910891089117	-0.0024019215372297342	0.014331210191082855
2009-08-19	MCD	27.75	28.26	27.62	28.23	-0.024947294448348534	-0.023834196891191595	-0.008258527827648132	0.007854337736522554
2009-08-19	GE	13.49	13.61	13.3	13.5	-0.0007407407407407085	-0.002930402930403031	-0.01041666666666663	-0.00589101620029453
2009-08-19	UTX	47.21	48.610001000000004	47.2	47.96	0.010920770877944186	0.01950505453020135	0.010706638115631772	0.009471690170490543
2009-08-19	V	55.14	55.98	54.62	55.65	0.007123287671232825	0.01284602858693673	0.0033063923585598953	0.007787033683448019
2009-08-19	AXP	116.88	118.71	116.3	118.57	-0.002475036272083342	0.006102212051868783	-0.002572898799313883	0.010396250532594742
2009-08-19	T	25.08	25.59	25.08	25.48	-0.006339144215530945	0.013866877971473901	0.004767437202035207	0.011111111111111072
2009-08-19	MMM	59.65	60.62	59.48	60.62	-0.01290749627668375	0.003144133708423036	-0.0005041169551336377	0.012865497076023358
2009-08-19	MO	54.89	56.96	54.87	56.77	-0.010812759055685683	0.020605626231858132	-0.006338283230713504	0.02085955763351932
2009-08-19	JNJ	52.27	53.03	52.27	52.53	-0.004380952380952374	0.007617458782308573	0.002493287303414027	0.0016283850005529565
2009-08-19	PFE	44.5	45.69	43.75	45.21	-0.0022421524663677195	0.008831971737690347	-0.006359300476947549	-0.0011047282368537026
2009-08-19	TRV	43.14	44.0	42.6	43.97	0.002789400278939924	-0.007668019846639673	-0.008149010477299212	0.022558139534883725
2009-08-19	DD	50.83	51.84	50.83	51.6	-0.02512466436517069	-0.005753739930955071	-0.006256109481915906	0.004868549172346581
2009-08-19	AAPL.O	30.9	31.75	30.9	31.7	0.00422489437764062	-0.006256670599907976	0.006514657980456029	0.0015797788309637184
2009-08-19	HD	20.89	21.4305	20.7	21.31	-0.0009564801530368428	0.01326241134751771	-0.005735035591803883	0.015245354930919497
2009-08-19	VZ	30.18	30.53	30.0	30.5	-0.0029732408325073845	0.002627257799671545	-0.0006662225183211579	0.008264462809917328
2009-08-19	BAC	26.72	27.0	26.4701	26.9	-0.01219963031423299	-0.014598540145985384	0.0343923407581086	-0.005545286506469571
2009-08-19	GS	15.79	16.45	15.79	16.38	-0.006293266205160575	0.025561097256857845	-0.0006392364605287693	0.022471910112359605
2009-08-19	CSCO.O	43.48	43.894	43.11	43.4962	-0.041446208112874805	-0.03231922398589071	-0.01327534905012584	-0.008746581586144053
2009-08-19	DIS	18.52	18.8827	18.51	18.87	-0.0016172506738545422	0.0009382454280413288	0.003252032520325354	0.02276422764227659
2009-08-19	JPM	30.71	32.28	30.61	31.89	-0.012540192926045024	0.026064844246662444	-0.011943189154293155	0.01787424194063214
