VZ	32.59	33	32.3	32.93
GE	32.74	32.8	32.45	32.7
GM	29.76	30.81	29.55	30.5
GS	146.9	149.54	145.35	148.2
PFE	24.62	25.12	24.48	24.96
CAT	70.45	71	69.36	70.655
CVX	66.45	67.15	65.85	67.07
C	47.5	47.89	47.23	47.45
MRK	39.28	39.54	39	39.27
AIG	59.64	60.15	59.39	59.5708
AA	29.71	30.22	29.51	29.98
XOM	65.4	66	64.92	65.75
BAC	50.57	51.07	50.56	50.86
HD	34.65	35.33	34.35	35.25
CSCO.O	18.02	18.19	17.72	17.98
BA	81.75	84	80.87	83.7
MSFT.O	24.01	24.29	23.94	24
T	27.5	29.74	27.5	29.05
DIS	29.21	29.61	28.97	29.48
INTC.O	17.43	17.77	17.32	17.48
JPM	44.19	44.84	44.05	44.63
DD	40.51	40.72	39.86	40.67
WMT	44.62	44.79	43.98	44.65
UTX	61.6	62.23	60.99	61.156
TRV	31.52	31.57	29.87	30.11
HPQ	61.75	62.0499	60.78	61.85
AAPL.O	50.79	51.65	50.36	50.84
AXP	75.55	76.33	75.33	75.89
IBM	80	80.5	78.96	80.05
MO	80.15	80.7	79.65	80.0647
NKE	37.29	37.98	37.2	37.715
HON	43.8834	44.37	43.77	44.25
KO	33.37	33.37	32.73	33.02
V	35	35.4	34.65	34.76
MCD	50.82	51.66	50.53	51.48
UNH	72	72	67.1	68.25
MMM	61.55	62	61.55	61.65
JNJ	56.9	57.23	56.24	56.25
