VZ	429100	431700	428200	430000
GE	210200	210500	209400	209500
GM	298500	302600	296300	299700
GS	1334000	1344100	1332700	1343200
PFE	262500	264800	262060	264700
CAT	943000	947200	941300	944400
CVX	1096800	1100500	1092500	1095400
C	425500	432200	418400	420400
MRK	423500	426500	422100	425900
AIG	358900	360700	355200	357600
AA	92800	92800	90600	90800
XOM	883800	884700	877600	881400
BAC	118800	120000	113320	114300
HD	635200	635200	630100	631700
CSCO.O	20.33	20.53	20.265	20.36
BA	751200	768000	751200	767600
MSFT.O	26.64	26.74	26.57	26.74
T	345200	345800	342400	342400
DIS	509900	514900	507600	507800
INTC.O	21.2	21.47	21.12	21.45
JPM	455700	461700	451500	454700
DD	461600	464600	461100	464400
WMT	686000	686900	682400	685700
UTX	838400	853100	838400	845500
TRV	734200	741200	733200	739400
HPQ	156300	158700	155700	158500
AAPL.O	528	528	515.58	515.77
AXP	604000	608800	601600	602600
IBM	1928100	1933000	1916900	1923200
MO	321800	322400	318500	319000
NKE	526000	526800	523200	524500
HON	662200	665400	658800	665400
KO	371500	371800	368400	370300
V	1620600	1620900	1597300	1617900
MCD	906600	912400	903900	908100
UNH	516600	525000	515200	523700
MMM	958000	967300	958000	964100
JNJ	716900	718200	715000	717300
PG	687300	691000	686300	688800
