VZ	32.98	33.04	32.668	32.82
GE	15.88	15.94	15.5827	15.62
GM	161	163.33	160.29	162.9
GS	18.28	29.51	18.25	18.36
PFE	57.9	58.32	56.73	57.2
CAT	77.25	77.65	76.57	77.19
CVX	3.23	3.405	3.21	3.36
C	37.55	37.777	37.24	37.4
MRK	28.67	28.7	27.8899	28.1
AIG	14.59	14.71	14.261	14.62
AA	68.8	68.8	67.64	68.24
XOM	15.07	15.19	14.89	15.04
BAC	29.02	29.04	28.43	28.7
HD	23.19	23.36	23.02	23.35
CSCO.O	54.6	54.92	53	53.3
BA	29.72	30.45	29.65	30
MSFT.O	27.37	27.5499	27.2	27.34
T	32.03	32.15	31.58	32.0152
DIS	19.16	19.71	19.1201	19.32
INTC.O	40.49	41.18	40.089	40.95
JPM	32.21	32.35	31.66	31.9
DD	52.9	53.01	52.31	52.57
WMT	69.88	69.98	69.1374	69.5
UTX	48.62	48.79	47.89	48.1448
TRV	50.65	51.7	50.63	51.5
HPQ	193.45	195.5978	192.68	195.24
AAPL.O	40.55	40.75	39.98	40.45
AXP	127.71	128.35	127.01	127.914
IBM	19.68	19.74	19.56	19.65
MO	64.45	65.33	64.13	64.42
NKE	39.54	39.79	39.01	39.154
HON	57.26	57.26	56.3301	56.9257
KO	87.25	89.65	87.25	88.55
V	62.06	62.4275	62	62.1762
MCD	32.22	32.24	31.08	31.85
UNH	81.11	81.25	80.58	81.15
MMM	64.72	64.72	63.91	64.32
JNJ	61.61	62	60.4799	61.55
