VZ	393100	393100	389300	391000
GE	190500	191700	189200	190400
GM	256400	258100	254300	256200
GS	1176100	1184600	1163700	1172900
PFE	215300	217300	214400	214800
CAT	1108000	1110400	1098900	1102200
CVX	1100500	1103800	1094000	1095700
C	342900	348800	341200	342000
MRK	376000	378900	374900	376000
AIG	285200	286800	282400	282500
AA	98000	99800	97600	98100
XOM	848700	849400	840800	843000
BAC	81100	81800	80200	80500
HD	479300	481800	478400	481000
CSCO.O	19.65	19.8808	19.65	19.81
BA	742000	742000	731800	732900
MSFT.O	32.05	32.11	31.92	31.99
T	310800	311800	310000	311800
DIS	421600	425700	420700	422400
INTC.O	26.87	27.158	26.84	27.07
JPM	407800	414300	405800	410300
DD	513900	519900	511700	515000
WMT	599700	602000	599100	600800
UTX	837100	839000	832500	835500
TRV	572700	576200	571900	576100
HPQ	245800	245900	240500	241800
AAPL.O	543	547.7076	541.52	544.87
AXP	529500	534600	528400	532000
IBM	1999900	2010900	1997700	2006200
MO	304300	305700	303500	304600
NKE	1084700	1101400	1082800	1099800
HON	596700	601600	593900	597800
KO	694800	697300	693400	695100
V	1181700	1182000	1170200	1171700
MCD	973900	973900	965700	968400
UNH	557300	561000	555100	557800
MMM	869100	872500	867100	868000
JNJ	648500	649900	646000	647400
PG	669500	669900	666400	669300
