VZ	34.01	34.39	34	34.24
GE	36.1	36.31	35.9	36.1
GM	26.45	26.45	24.71	26.05
GS	107.47	107.87	106.68	107.34
PFE	27.81	28	27.21	27.5
CAT	84.42	85.65	84.42	84.94
CVX	52.8	53.56	52.7	53.56
C	46.46	46.8	46.3492	46.4
MRK	34.6	34.8	33.77	34.65
AIG	52	52	50.36	51.7
AA	29.53	29.94	29.09	29.3
XOM	57.5	59.23	57.45	58.8
BAC	44.72	45.1	44.72	44.93
HD	36.7	36.7	36.24	36.42
CSCO.O	17.16	17.72	17.1582	17.5
BA	56.87	58.35	56.64	58.09
MSFT.O	24.75	24.85	24.47	24.8
T	18.68	18.78	18.62	18.69
DIS	26.99	27.29	26.85	27.15
INTC.O	22.42	23.47	22.32	23.44
JPM	34.75	35.16	34.7	35.16
DD	47.64	48.64	47.6	48.13
WMT	47.81	47.81	47.21	47.6
UTX	98.66	98.89	97.83	98.27
TRV	20.44	20.76	20.44	20.65
HPQ	35.74	38.05	35.74	37.66
AAPL.O	50.88	51.11	50.51	50.57
AXP	77.1	77.2	75.29	75.84
IBM	63.7	64.67	63.06	64.2
MO	76.51	77.81	76.51	77.48
NKE	35.77	36.53	35.74	36.5
HON	41.2	42.91	41.1	42.4
KO	30.02	30.2	29.88	30.14
V	30.07	30.24	29.89	30.18
MCD	91.37	93.4	91	93.2
UNH	77.27	78.17	76.4	77.13
MMM	70	70	68.44	69.05
JNJ	54.44	54.5946	54.11	54.34
