VZ	42.75	42.99	42.38	42.67
GE	37.45	37.79	37.36	37.6
GM	31.36	31.67	30.47	30.97
GS	230.71	232.23	228.5	228.95
PFE	27.48	27.6	27.29	27.35
CAT	75.55	77.25	75.55	76.0452
CVX	82.18	82.8	81.19	81.4
C	55.08	55.5	54.92	55.01
MRK	54.31	54.67	54.11	54.3866
AIG	71.94	72.35	71.83	71.91
AA	39.75	40.78	39.5	40.5
XOM	82.98	83.55	82.7	83.1233
BAC	51.6	51.89	51.32	51.35
HD	38.66	39.13	38.53	38.66
CSCO.O	26.44	26.47	25.883	25.99
BA	96.55	96.55	94.41	95.45
MSFT.O	30.78	30.84	30.55	30.55
T	40.49	40.95	40.28	40.4
DIS	36.27	36.79	36.27	36.48
INTC.O	23.09	23.13	22.62	22.65
JPM	52.29	52.59	51.93	51.93
DD	52.04	52.5	52.02	52.06
WMT	46.75	47.13	46.33	46.45
UTX	69.22	69.27	68.7	68.88
TRV	55.7	55.99	55.6	55.63
HPQ	46	46.11	45.58	45.77
AAPL.O	114.01	114.98	112.66	113.05
AXP	64.23	64.65	63.71	63.99
IBM	106.65	106.87	105.25	105.58
MO	72	72	71.28	71.48
NKE	55.55	55.55	54.5	55.0208
HON	56.99	57.1	55.91	56.82
KO	51.75	51.76	51.25	51.33
V	52.6	52.6	51.35	51.9538
MCD	53.89	54.25	53.72	53.93
UNH	87.84	88.49	87.62	87.94
MMM	63.59	64.1	63.59	63.82
JNJ	63.05	63.42	63.05	63.11
