VZ	36.51	36.58	36.0997	36.39
GE	36.14	36.21	35.95	36.05
GM	34.16	34.94	34.16	34.47
GS	112.9	113.17	112.12	112.656
PFE	27.17	27.3	26.73	26.89
CAT	99.06	99.74	98.44	99.148
CVX	61.2	61.89	61.1	61.5
C	48.49	48.67	48.22	48.48
MRK	31.75	31.94	31.68	31.73
AIG	66.67	67.2	65.76	66.6337
AA	31.45	31.575	31.14	31.22
XOM	62.98	63.59	62.81	63.08
BAC	46.47	46.47	45.95	46.26
HD	39.97	40.11	39.85	39.98
CSCO.O	18.2	18.75	18.075	18.17
BA	58.33	58.58	57.8	57.8
MSFT.O	25.55	25.62	25.34	25.38
T	19.78	19.78	19.45	19.5
DIS	28.7	28.76	28.43	28.62
INTC.O	24.92	25.4	24.78	24.88
JPM	37.23	37.26	36.9	36.9
DD	53.95	54.03	53.62	53.9
WMT	52.95	52.95	52.27	52.42
UTX	101.4	102.87	101.4	102.26
TRV	20.87	20.95	20.75	20.93
HPQ	42.35	42.35	40.18	40.66
AAPL.O	54.91	54.95	54.36	54.458
AXP	91.9	92.54	91.9	92.03
IBM	65.57	66.07	65.4	65.7
MO	87.19	87.26	86.43	86.5
NKE	38.68	38.86	38.43	38.72
HON	43.72	43.8	43.35	43.42
KO	32.24	32.26	32	32.1176
V	34.26	34.27	32.94	33.45
MCD	91.19	91.47	90.28	90.7126
UNH	86.26	86.85	86.13	86.38
MMM	68.44	68.44	68.06	68.19
JNJ	54	54	53.3	53.4
