VZ	33.02	33.19	32.86	32.9299
GE	35.11	35.24	34.97	35.06
GM	23.4	23.71	23.16	23.7
GS	165	166.55	162.26	163.6566
PFE	25.3	25.6926	25.3	25.54
CAT	79.98	80.1	78.91	79.9
CVX	61.9	62.35	61.3	62.0286
C	50.25	50.67	50.07	50.16
MRK	34.35	34.54	34.26	34.4603
AIG	65.3	65.6	65.29	65.34
AA	36	36.13	35.1	36.0773
XOM	63.79	64.08	63.24	63.76
BAC	50.47	50.47	50	50.08
HD	41.35	41.44	40.87	40.87
CSCO.O	21.78	21.88	21.57	21.71
BA	89.25	89.25	87.369	88.0734
MSFT.O	23.95	24	23.52	23.68
T	25.97	26.24	25.95	26.1478
DIS	29.25	29.31	28.56	28.79
INTC.O	19.56	20.21	19.55	19.95
JPM	46.65	46.65	46.01	46.01
DD	45.15	45.73	45.15	45.6069
WMT	47.25	47.89	47.11	47.34
UTX	65.03	65.5	64.65	64.9926
TRV	33.41	33.95	32.85	32.97
HPQ	72.1	73.27	71.37	71.55
AAPL.O	53.75	54	53.57	53.7165
AXP	83.55	83.55	82.36	82.9
IBM	73.5	73.85	73.26	73.61
MO	81.65	82.43	81.53	82.17
NKE	44.05	44.13	43.13	43.32
HON	42.72	43.73	42.7	43.383
KO	35.29	35.44	35.16	35.2868
V	35.22	35.55	35.22	35.55
MCD	46.25	46.59	44.89	45
UNH	87.11	88.33	87.11	87.6034
MMM	58.712	58.9	58.6602	58.9
JNJ	55.87	56.57	55.45	56.25
