VZ	48.9	49.3	48.8408	49.18
GE	26.9	27.06	26.84	27.01
GM	35.5	35.78	35.25	35.62
GS	166.1	167.001	165.44	165.89
PFE	29.46	29.59	29.365	29.53
CAT	106.28	107.22	106.16	106.9329
CVX	126.01	127.29	125.84	127.11
C	48.1	48.65	47.1499	47.65
MRK	58.23	58.65	57.92	58.54
AIG	54.3	54.85	54.17	54.76
AA	14.09	14.56	14.01	14.53
XOM	102.01	102.6527	101.65	102.59
BAC	15.5	15.549	15.3375	15.44
HD	77.5	78.63	77.5	78.07
CSCO.O	24.51	24.78	24.51	24.7
BA	132	133.23	131.6	132.17
MSFT.O	40.85	41.54	40.75	41.16
T	34.9	35.15	34.787	35.12
DIS	82.23	83.17	81.86	82.99
INTC.O	29.81	30.1	29.26	29.84
JPM	57.03	57.65	56.88	56.96
DD	68.08	68.5299	67.89	68.01
WMT	75.75	75.75	75.13	75.39
UTX	115.55	117.27	115.55	116.65
TRV	95	95.48	94.85	95.41
HPQ	33.39	35.24	33.39	35.2
AAPL.O	91.6	92.61	90.9274	91.48
AXP	94.88	95.125	93.19	93.19
IBM	181	182.97	180.42	182.56
MO	41.16	41.99	41.15	41.45
NKE	74.86	74.92	73.76	74.249
HON	93.54	94.23	93.43	93.77
KO	40.27	40.53	40.26	40.43
V	211.38	211.97	210.88	211.07
MCD	99.76	99.99	100.01	100.52
UNH	79.31	79.31	78.6	78.911
MMM	143.07	143.5992	142.831	143.41
JNJ	103.54	103.54	102.17	102.5
PG	79.86	79.92	79.5	79.62
