VZ	29.79	29.8	29.4	29.4
GE	14.69	14.81	14.46	14.47
GM	145.02	145.52	141.4	141.4
GS	15.97	16.1	15.83	15.88
PFE	65.18	65.77	63.57	63.58
CAT	74.07	74.57	73.17	73.32
CVX	3.7	3.74	3.64	3.65
C	34.564999	34.650002	34.28	34.28
MRK	34.5	34.75	33.68	33.68
AIG	10.21	9.99	10	10.01
AA	58.94	59.419998	58.27	58.4
XOM	12.67	12.89	12.43	12.44
BAC	28.45	28.56	28.23	28.28
HD	21.26	21.38	20.68	20.77
CSCO.O	60.8	62.53	60.8	61.01
BA	24.21	24.26	23.76	23.78
MSFT.O	26.89	27	26.6	26.6
T	32.11	32.42	31.905001	31.94
DIS	18.59	18.67	18.13	18.18
INTC.O	36.3	36.6015	35.52	35.57
JPM	39.73	40.16	39.01	39.01
DD	51.55	51.7	50.76	50.95
WMT	65.26	65.81	64.77	65.05
UTX	49.6	50.1	48.9275	49.1
TRV	38.35	38.65	38	38
HPQ	245	245.65	239.85	240.05
AAPL.O	40.16	40.37	39.48	39.5
AXP	125.33	125.85	122.5	122.78
IBM	22.96	22.96	22.455	22.61
MO	70.54	71.69	70.38	70.39
NKE	39.15	39.35	38.2338	38.89
HON	55.43	55.51	54.75	54.75
KO	70.92	71.5	69.69	69.69
V	74.34	74.34	73.16	73.17
MCD	31.96	32.36	31.85	31.86
UNH	81.5	81.5	78.76	79.78
MMM	58.11	58.4	57.77	57.82
JNJ	60.1	60.1	59.42	59.52
