VZ	31.85	32.35	31.85	32.25
GE	33.22	33.57	33.18	33.4
GM	30.6	31.1	30.37	31.07
GS	118.5	119.95	117.83	119.8
PFE	25.22	25.25	24.8625	24.94
CAT	58.5	59.12	58.15	58.96
CVX	63.77	63.77	62.85	63.35
C	45.17	45.5	45.06	45.26
MRK	28.05	28.27	27.41	27.71
AIG	59.57	60.69	59.43	60.28
AA	24.01	24.79	23.8	24.42
XOM	64.98	64.98	63.62	63.84
BAC	42.22	42.5	41.89	42.23
HD	38.9	39.19	38.16	38.5
CSCO.O	18.13	18.16	17.98	18.07
BA	62.21	63.45	61.9	63.2
MSFT.O	25.3	25.53	25.149	25.31
T	19.611	19.74	19.2346	19.6
DIS	23.15	23.27	22.98	23.23
INTC.O	24.53	24.62	24.36	24.4
JPM	34.25	34.27	33.93	34.07
DD	38.93	39.78	38.59	38.78
WMT	43.2	43.74	42.89	43.74
UTX	50.89	51.9	50.72	51.7
TRV	27.7	28.63	27.49	28.58
HPQ	52	53.48	51.85	53.21
AAPL.O	56.9	57.12	56.6	56.9174
AXP	78.21	78.21	77.54	77.88
IBM	71.95	72.46	71.43	71.9581
MO	80.61	81.93	79.68	81.28
NKE	36.59	37.66	36.59	37.62
HON	42.26	42.6	42.24	42.3373
KO	31.39	31.57	31.36	31.4862
V	33	33.53	32.55	32.8192
MCD	53.83	55.41	53.65	55.29
UNH	72.8	72.95	72.24	72.59
MMM	64.68	64.9	63.85	64.06
JNJ	56.54	56.94	56.1014	56.34
