VZ	36.72	37.35	36.58	37.03
GE	18.48	19.3	18.32	18.62
GM	29.19	29.48	28.77	29.34
GS	131	131.45	124.8	128.99
PFE	19.7	20.03	19.61	19.92
CAT	109.3	111.63	108.2	109.99
CVX	106.72	107.76	106.43	107.48
C	37.75	38.150002	37.45	38
MRK	35.5	35.92	35.32	35.79
AIG	27.9	28.05	27.28	27.88
AA	15.24	16.49	15.24	15.47
XOM	83	83.75	82.76	83.75
BAC	9.78	9.98	9.4001	9.6
HD	35.9	36.265	35.713	36.11
CSCO.O	15.49	15.69	15.43	15.65
BA	69.75	71.28	69.35	70.65
MSFT.O	26.86	27.64	26.68	27.48
T	30.21	31.23	29.9725	30.33
DIS	38.93	39.72	38.93	39.54
INTC.O	22.35	23.17	22.35	23.13
JPM	40.15	40.4802	39.7299	40.37
DD	53.7	54.33	53.7	54.1
WMT	53.35	54.01	53.35	53.97
UTX	88.5	89.54	87.99	89.38
TRV	56.88	57.220001	56.72	57.03
HPQ	35.06	36.45	34.96	35.76
AAPL.O	376.33	403.07	373.8	394
AXP	52.3	52.59	51.19	52
IBM	178.55	185.76	177.86	185.11
MO	26.85	27.1	26.63	27.1
NKE	91.11	91.25	90.5	90.8667
HON	56.69	57.575	56.69	57.43
KO	68	69.77	67.4	69.32
V	88.25	89.27	88.21	89.21
MCD	85.44	86.25	85.44	86.18
UNH	51.95	52.63	50.02	51.39
MMM	94.64	94.89	93.38	94.27
JNJ	67.72	67.92	66	66.7
PG	64.94	64.95	64.35	64.79
