VZ	28.07	28.66	27.55	27.55
GE	10.78	9.9999	10	10.06
GM	2.25	2.25	1.99	2
GS	84.4	88.74	84.4	86.2
PFE	14.25	14.39	13.98	14.03
CAT	28.54	29	26.75	26.85
CVX	66.12	67.69	66.12	66.67
C	2.92	3.04	2.47	2.48
MRK	28.64	29.08	28.48	28.634
AIG	0.75	0.77	0.55	0.62
AA	6.55	6.82	6.32	6.35
XOM	70.74	72.94	70.57	72.07
BAC	4.57	4.67	3.8	3.92
HD	19.8	20.42	19.79	20.16
CSCO.O	15.37	15.51	15.0275	15.05
BA	37.98	38.66	37.36	37.62
MSFT.O	18.32	18.37	17.82	17.91
T	22.96	23.61	22.96	23.19
DIS	17.63	18	17.23	17.61
INTC.O	13.34	13.43	12.68	12.75
JPM	21.51	22.23	20.37	20.4
DD	21.14	21.74	20.76	21.344
WMT	50	50.66	49.75	50.27
UTX	44.85	45.92	44.62	45.0707
TRV	38.93	39.9	38.46	38.97
HPQ	32.5	33.09	30.72	31.15
AAPL.O	92.85	94.37	90.15	90.3
AXP	14.2	14.46	12.77	12.87
IBM	91.29	92	88.47	88.98
MO	15.53	15.85	15.3	15.7
NKE	43.52	44.31	42.34	42.716
HON	30.29	30.89	29.8	29.8
KO	42.68	43.68	42.68	43.01
V	56.15	57.89	55.52	55.76
MCD	56.41	57.09	55.3	55.58
UNH	28.33	29.3789	28.31	28.6
MMM	47.24	48.03	47	47.12
JNJ	56.48	56.62	55.69	55.87
PG	51.5	51.994999	50.91	50.91
