VZ	37.36	37.75	37.26	37.45
GE	37.6	37.95	37.1	37.3
GM	20.99	21.87	20.47	21.02
GS	178.24	181.7	176.95	179.3
PFE	21.47	21.569	21.28	21.41
CAT	78.42	78.42	76.99	77.3722
CVX	88.4	89.36	88.15	88.7525
C	24.44	25.15	24.4	24.73
MRK	40.2	41.58	40.2	40.7
AIG	47.5	48.57	47.5	48.09
AA	39.44	39.5	36.6	37.23
XOM	89.05	89.94	88.71	88.99
BAC	40	40.4	39.35	39.54
HD	28.96	28.96	28.36	28.8
CSCO.O	24.5	24.6	23.79	23.9
BA	76.5	76.7	74.91	75
MSFT.O	29.56	29.75	29.04	29.12
T	39	39.22	38.6	38.8
DIS	31.46	31.72	31.21	31.36
INTC.O	21.94	22.08	21.29	21.6
JPM	46.2	46.72	45.48	45.5
DD	50	50	48.69	48.9
WMT	54.5	54.8	54.02	54.02
UTX	71.99	72.53	71.52	72.2022
TRV	49.76	50.28	49.1	49.7575
HPQ	46.96	46.96	45.76	45.95
AAPL.O	154.33	159.65	154.11	156.12
AXP	46.95	47.33	45.99	46.3
IBM	116.39	117.27	115.86	116.6688
MO	23.25	23.25	21.75	21.97
NKE	69.8	69.8	66.76	67.18
HON	58.65	58.83	58	58.11
KO	60.65	60.65	60.25	60.4962
V	65.2	65.74	64.08	64.91
MCD	55.51	56.23	55.46	55.86
UNH	36.55	37.07	36.5124	36.92
MMM	80.96	81.11	80.19	80.6359
JNJ	66	66.22	65.53	66.0345
PG	71.49	71.49	70.11	70.51
