VZ	446200	446750	441300	444600
GE	224700	225000	222700	224800
GM	287700	288900	280400	284700
GS	1509400	1524900	1490600	1502600
PFE	273200	273500	269300	269600
CAT	977000	981100	952400	961100
CVX	1157100	1157100	1143500	1150200
C	431200	434500	423400	428700
MRK	411600	412900	408900	410000
AIG	388800	389300	380900	386400
AA	89300	89700	88810	89000
XOM	891200	891200	876500	882500
BAC	119600	119700	117500	118400
HD	666300	666800	658500	663100
CSCO.O	21.16	21.25	21.005	21.1
BA	763000	774500	763000	774300
MSFT.O	27.33	27.45	27.1295	27.35
T	354300	355400	351200	352700
DIS	540700	544700	534300	543600
INTC.O	21.02	21.1	20.7	20.8
JPM	486500	487200	479400	482300
DD	473800	473800	468500	472900
WMT	714700	715800	709000	712300
UTX	894600	899500	886400	899500
TRV	789900	791300	780900	791200
HPQ	166100	166100	162700	164400
AAPL.O	456.3	469.64	453.5	468.75
AXP	606600	623100	606600	621400
IBM	2006200	2007100	1987400	1997400
MO	341000	346400	341000	346100
NKE	541800	547000	540900	546800
HON	699500	703800	695900	703700
KO	384400	390400	384300	389100
V	1584600	1595700	1569700	1570600
MCD	946000	949000	940800	946300
UNH	573900	573900	566600	570500
MMM	1027400	1027400	1014700	1022200
JNJ	749300	752000	747100	750600
PG	760700	764100	758000	761500
