date	COMPANY	Open	High	Low	Close	Open_p	High_p	Low_p	Close_p
2008-12-01	TRV	42.15	43.65	36.97	40.51	-0.0174825174825175	-0.003197076958209699	-0.12847713342762856	-0.07193585337915231
2008-12-01	INTC.O	13.72	13.8407	12.56	12.65	-0.0007283321194464509	-0.01278887303851639	-0.07647058823529407	-0.08200290275761968
2008-12-01	V	52.19	52.56	47.71	48.07	0.0036538461538460076	-0.003223971173904716	-0.06816406250000007	-0.08560015217804828
2008-12-01	MO	16.0	16.08	15.2	15.55	0.03159252095422316	-0.010461538461538522	-0.012987012987013102	-0.015822784810126556
2008-12-01	PG	63.44	64.5398	60.36	61.0	0.014228617106315067	0.0006170542635659526	-0.035011990407673776	-0.05264792669669205
2008-12-01	T	28.0	28.56	26.77	26.79	-0.007092198581560294	-0.005571030640668551	-0.04733096085409261	-0.06197478991596639
2008-12-01	UTX	47.48	48.53	45.09	46.91	-0.012479201331114798	-0.00226151315789469	-0.06023343059608155	-0.027772020725388646
2008-12-01	UNH	21.01	22.4278	20.08	20.8	0.00815738963531687	0.04999063670411985	-0.035079288803459896	-0.009995240361732494
2008-12-01	AAPL.O	91.0	92.67	88.89	89.5	-0.0395778364116095	-0.024423623539319816	-0.033595310289943114	-0.031385281385281405
2008-12-01	WMT	54.97	55.88	52.98	53.26	-0.02535460992907801	-0.019380742799783746	-0.04574927953890506	-0.048078641644325404
2008-12-01	C	8.29	8.29	6.39	6.63	0.14819944598337953	-0.017190278601067144	-0.08714285714285719	-0.20216606498194956
2008-12-01	AA	10.45	9.99	10.01	9.43	0.005774783445620768	-0.0009000900090009312	0.0009999999999998899	-0.11288805268109137
2008-12-01	CVX	76.01	78.0	71.92	72.34	-0.03967150979153511	-0.02243388895851617	-0.06524564595788918	-0.08834278512917448
2008-12-01	CSCO.O	16.25	16.5888	14.9	15.06	0.007439553626782391	0.0023444108761327964	-0.0762554246745194	-0.08727272727272728
2008-12-01	GM	5.15	5.72	4.32	4.57	0.0706860706860708	0.021428571428571352	-0.10187110187110171	-0.16757741347905275
2008-12-01	MCD	58.24	58.75	55.9	56.5	0.015695849319846467	-0.0032236172378690142	-0.020844280959887995	-0.04058413992188825
2008-12-01	XOM	79.01	80.15	74.31	74.64	-0.012374999999999914	-0.0091482259859067	-0.0623343848580441	-0.07314044455482427
2008-12-01	HPQ	35.0	35.3841	33.44	35.3841	0.004592422502870175	-0.0032647887323944413	-0.03380525859578165	0.008094017094016914
2008-12-01	NKE	52.01	53.25	47.93	49.94	-0.03685185185185191	-0.01388888888888884	-0.07345834138797602	-0.0621596244131456
2008-12-01	AIG	2.0	2.1	1.65	1.8	0.010101010101010166	0.0	-0.140625	-0.1089108910891089
2008-12-01	IBM	80.24	81.6	76.45	76.9	-0.010970048070997218	-0.0018348623853211565	-0.045091181613789666	-0.05932721712538225
2008-12-01	BA	42.02	42.63	39.7	42.5042	0.023629719853836884	-0.0030378929791696763	-0.03288672350791699	-0.005749707602339282
2008-12-01	MMM	66.0	66.7326	62.13	66.7326	0.008095310829387525	-0.003991044776119335	-0.04781609195402292	-0.002949350067234402
2008-12-01	MRK	26.5	26.7988	24.77	25.1	0.019230769230769162	0.002949101796407172	-0.03543613707165105	-0.05816135084427754
2008-12-01	BAC	16.0	16.25	12.79	12.93	0.032258064516129004	-0.007330482590103937	-0.1535407015221708	-0.1988847583643123
2008-12-01	PFE	15.93	16.33	15.2	15.45	0.0006281407035175768	-0.00729483282674781	-0.03919089759797734	-0.05562347188264061
2008-12-01	KO	46.0	46.87	44.32	44.61	0.015228426395939021	-0.0008526966531655633	-0.0218494813506952	-0.04454915399443127
2008-12-01	CAT	40.91	40.99	36.4	36.88	0.051941373103625565	-0.003888213851761746	-0.05870183604861656	-0.09828850855745708
2008-12-01	HD	23.05	23.11	21.13	21.35	-0.02123142250530785	-0.02283298097251585	-0.07080035180299027	-0.0757575757575758
2008-12-01	GE	16.98	17.17	15.45	15.6	0.05992509363295895	-0.0017441860465114978	-0.034978138663335545	-0.08450704225352113
